mes;;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
20050100;    Ambos sexos;3399.0;7.0;436.0;576.0;298.0;242.0;226.0;223.0;209.0;216.0;292.0;268.0;226.0;115.0;57.0;8.0;
20050100;    Varones;2570.0;4.0;343.0;448.0;249.0;185.0;170.0;157.0;145.0;156.0;205.0;209.0;165.0;85.0;43.0;6.0;
20050100;    Mujeres;829.0;3.0;93.0;128.0;49.0;57.0;56.0;66.0;64.0;60.0;87.0;59.0;61.0;30.0;14.0;2.0;
20050200;    Ambos sexos;285.0;0.0;32.0;47.0;18.0;22.0;19.0;22.0;20.0;13.0;29.0;30.0;17.0;10.0;6.0;0.0;
20050200;    Varones;209.0;0.0;22.0;34.0;15.0;16.0;13.0;13.0;18.0;7.0;20.0;25.0;13.0;7.0;6.0;0.0;
20050200;    Mujeres;76.0;0.0;10.0;13.0;3.0;6.0;6.0;9.0;2.0;6.0;9.0;5.0;4.0;3.0;0.0;0.0;
20050300;    Ambos sexos;255.0;0.0;33.0;43.0;27.0;17.0;16.0;22.0;11.0;14.0;20.0;15.0;17.0;13.0;7.0;0.0;
20050300;    Varones;206.0;0.0;24.0;38.0;23.0;14.0;15.0;16.0;7.0;13.0;12.0;14.0;14.0;10.0;6.0;0.0;
20050300;    Mujeres;49.0;0.0;9.0;5.0;4.0;3.0;1.0;6.0;4.0;1.0;8.0;1.0;3.0;3.0;1.0;0.0;
20050400;    Ambos sexos;302.0;1.0;47.0;50.0;20.0;22.0;30.0;17.0;22.0;18.0;29.0;24.0;16.0;2.0;3.0;1.0;
20050400;    Varones;229.0;0.0;34.0;40.0;19.0;15.0;23.0;10.0;16.0;15.0;23.0;19.0;11.0;1.0;3.0;0.0;
20050400;    Mujeres;73.0;1.0;13.0;10.0;1.0;7.0;7.0;7.0;6.0;3.0;6.0;5.0;5.0;1.0;0.0;1.0;
20050500;    Ambos sexos;307.0;2.0;41.0;48.0;20.0;29.0;17.0;19.0;25.0;22.0;25.0;25.0;16.0;9.0;8.0;1.0;
20050500;    Varones;241.0;2.0;40.0;36.0;16.0;21.0;15.0;14.0;17.0;16.0;16.0;21.0;15.0;8.0;3.0;1.0;
20050500;    Mujeres;66.0;0.0;1.0;12.0;4.0;8.0;2.0;5.0;8.0;6.0;9.0;4.0;1.0;1.0;5.0;0.0;
20050600;    Ambos sexos;304.0;2.0;35.0;58.0;27.0;21.0;21.0;23.0;15.0;20.0;23.0;25.0;19.0;12.0;3.0;0.0;
20050600;    Varones;234.0;1.0;28.0;45.0;23.0;17.0;18.0;17.0;11.0;13.0;15.0;18.0;16.0;9.0;3.0;0.0;
20050600;    Mujeres;70.0;1.0;7.0;13.0;4.0;4.0;3.0;6.0;4.0;7.0;8.0;7.0;3.0;3.0;0.0;0.0;
20050700;    Ambos sexos;320.0;0.0;36.0;64.0;28.0;18.0;18.0;29.0;13.0;22.0;21.0;30.0;25.0;5.0;8.0;3.0;
20050700;    Varones;235.0;0.0;31.0;45.0;25.0;13.0;16.0;18.0;6.0;13.0;12.0;25.0;16.0;5.0;7.0;3.0;
20050700;    Mujeres;85.0;0.0;5.0;19.0;3.0;5.0;2.0;11.0;7.0;9.0;9.0;5.0;9.0;0.0;1.0;0.0;
20050800;    Ambos sexos;306.0;0.0;36.0;43.0;25.0;26.0;19.0;18.0;23.0;16.0;29.0;30.0;20.0;16.0;4.0;1.0;
20050800;    Varones;225.0;0.0;26.0;35.0;20.0;21.0;11.0;15.0;16.0;11.0;21.0;21.0;14.0;11.0;3.0;0.0;
20050800;    Mujeres;81.0;0.0;10.0;8.0;5.0;5.0;8.0;3.0;7.0;5.0;8.0;9.0;6.0;5.0;1.0;1.0;
20050900;    Ambos sexos;292.0;1.0;33.0;41.0;27.0;19.0;13.0;15.0;13.0;28.0;31.0;22.0;31.0;12.0;5.0;1.0;
20050900;    Varones;218.0;1.0;26.0;35.0;19.0;15.0;10.0;13.0;9.0;19.0;23.0;20.0;20.0;6.0;1.0;1.0;
20050900;    Mujeres;74.0;0.0;7.0;6.0;8.0;4.0;3.0;2.0;4.0;9.0;8.0;2.0;11.0;6.0;4.0;0.0;
20051000;    Ambos sexos;275.0;1.0;33.0;46.0;27.0;19.0;19.0;16.0;25.0;12.0;21.0;21.0;22.0;10.0;3.0;0.0;
20051000;    Varones;199.0;0.0;26.0;37.0;22.0;15.0;9.0;9.0;20.0;10.0;16.0;12.0;14.0;6.0;3.0;0.0;
20051000;    Mujeres;76.0;1.0;7.0;9.0;5.0;4.0;10.0;7.0;5.0;2.0;5.0;9.0;8.0;4.0;0.0;0.0;
20051100;    Ambos sexos;278.0;0.0;41.0;44.0;33.0;20.0;18.0;15.0;15.0;19.0;27.0;19.0;16.0;7.0;4.0;0.0;
20051100;    Varones;220.0;0.0;34.0;34.0;31.0;16.0;13.0;13.0;10.0;13.0;23.0;12.0;11.0;6.0;4.0;0.0;
20051100;    Mujeres;58.0;0.0;7.0;10.0;2.0;4.0;5.0;2.0;5.0;6.0;4.0;7.0;5.0;1.0;0.0;0.0;
20051200;    Ambos sexos;230.0;0.0;36.0;40.0;19.0;10.0;19.0;15.0;11.0;12.0;21.0;19.0;17.0;9.0;2.0;0.0;
20051200;    Varones;163.0;0.0;26.0;29.0;16.0;9.0;14.0;10.0;3.0;10.0;11.0;15.0;13.0;6.0;1.0;0.0;
20051200;    Mujeres;67.0;0.0;10.0;11.0;3.0;1.0;5.0;5.0;8.0;2.0;10.0;4.0;4.0;3.0;1.0;0.0;
20051300;    Ambos sexos;245.0;0.0;33.0;52.0;27.0;19.0;17.0;12.0;16.0;20.0;16.0;8.0;10.0;10.0;4.0;1.0;
20051300;    Varones;191.0;0.0;26.0;40.0;20.0;13.0;13.0;9.0;12.0;16.0;13.0;7.0;8.0;10.0;3.0;1.0;
20051300;    Mujeres;54.0;0.0;7.0;12.0;7.0;6.0;4.0;3.0;4.0;4.0;3.0;1.0;2.0;0.0;1.0;0.0;
