Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3429.0;8.0;370.0;519.0;320.0;340.0;265.0;253.0;253.0;209.0;226.0;281.0;201.0;138.0;40.0;6.0;
    Varones;2666.0;7.0;304.0;400.0;244.0;264.0;216.0;196.0;192.0;147.0;179.0;221.0;147.0;111.0;34.0;4.0;
    Mujeres;763.0;1.0;66.0;119.0;76.0;76.0;49.0;57.0;61.0;62.0;47.0;60.0;54.0;27.0;6.0;2.0;
enero;
    Ambos sexos;275.0;1.0;36.0;49.0;30.0;23.0;17.0;21.0;17.0;11.0;14.0;24.0;12.0;14.0;5.0;1.0;
    Varones;218.0;0.0;31.0;42.0;21.0;19.0;11.0;19.0;12.0;8.0;12.0;17.0;9.0;11.0;5.0;1.0;
    Mujeres;57.0;1.0;5.0;7.0;9.0;4.0;6.0;2.0;5.0;3.0;2.0;7.0;3.0;3.0;0.0;0.0;
febrero;
    Ambos sexos;270.0;0.0;26.0;46.0;24.0;30.0;25.0;33.0;18.0;12.0;13.0;20.0;16.0;5.0;2.0;0.0;
    Varones;208.0;0.0;23.0;35.0;19.0;23.0;21.0;24.0;14.0;10.0;8.0;17.0;8.0;5.0;1.0;0.0;
    Mujeres;62.0;0.0;3.0;11.0;5.0;7.0;4.0;9.0;4.0;2.0;5.0;3.0;8.0;0.0;1.0;0.0;
marzo;
    Ambos sexos;272.0;0.0;32.0;42.0;23.0;37.0;20.0;16.0;26.0;21.0;22.0;16.0;8.0;7.0;2.0;0.0;
    Varones;209.0;0.0;24.0;32.0;17.0;30.0;15.0;14.0;19.0;14.0;16.0;15.0;5.0;6.0;2.0;0.0;
    Mujeres;63.0;0.0;8.0;10.0;6.0;7.0;5.0;2.0;7.0;7.0;6.0;1.0;3.0;1.0;0.0;0.0;
abril;
    Ambos sexos;258.0;0.0;20.0;40.0;16.0;28.0;22.0;20.0;26.0;14.0;18.0;20.0;20.0;11.0;3.0;0.0;
    Varones;210.0;0.0;17.0;33.0;15.0;24.0;18.0;14.0;19.0;11.0;17.0;17.0;13.0;9.0;3.0;0.0;
    Mujeres;48.0;0.0;3.0;7.0;1.0;4.0;4.0;6.0;7.0;3.0;1.0;3.0;7.0;2.0;0.0;0.0;
mayo;
    Ambos sexos;316.0;0.0;31.0;46.0;30.0;36.0;26.0;15.0;22.0;31.0;22.0;28.0;19.0;8.0;2.0;0.0;
    Varones;251.0;0.0;26.0;35.0;27.0;29.0;19.0;11.0;15.0;26.0;17.0;24.0;14.0;6.0;2.0;0.0;
    Mujeres;65.0;0.0;5.0;11.0;3.0;7.0;7.0;4.0;7.0;5.0;5.0;4.0;5.0;2.0;0.0;0.0;
junio;
    Ambos sexos;321.0;3.0;35.0;46.0;32.0;28.0;28.0;22.0;24.0;18.0;22.0;24.0;20.0;15.0;4.0;0.0;
    Varones;247.0;3.0;28.0;33.0;18.0;24.0;27.0;16.0;19.0;11.0;18.0;21.0;15.0;12.0;2.0;0.0;
    Mujeres;74.0;0.0;7.0;13.0;14.0;4.0;1.0;6.0;5.0;7.0;4.0;3.0;5.0;3.0;2.0;0.0;
julio;
    Ambos sexos;330.0;0.0;41.0;45.0;27.0;33.0;28.0;20.0;22.0;16.0;20.0;25.0;27.0;16.0;8.0;2.0;
    Varones;265.0;0.0;37.0;32.0;20.0;26.0;26.0;18.0;18.0;11.0;18.0;18.0;17.0;15.0;7.0;2.0;
    Mujeres;65.0;0.0;4.0;13.0;7.0;7.0;2.0;2.0;4.0;5.0;2.0;7.0;10.0;1.0;1.0;0.0;
agosto;
    Ambos sexos;298.0;2.0;26.0;39.0;28.0;30.0;21.0;23.0;15.0;21.0;32.0;29.0;11.0;17.0;4.0;0.0;
    Varones;233.0;2.0;21.0;31.0;22.0;22.0;16.0;19.0;13.0;17.0;20.0;22.0;10.0;15.0;3.0;0.0;
    Mujeres;65.0;0.0;5.0;8.0;6.0;8.0;5.0;4.0;2.0;4.0;12.0;7.0;1.0;2.0;1.0;0.0;
septiembre;
    Ambos sexos;303.0;0.0;36.0;47.0;30.0;20.0;16.0;22.0;28.0;20.0;18.0;23.0;24.0;17.0;2.0;0.0;
    Varones;233.0;0.0;27.0;39.0;23.0;13.0;13.0;16.0;22.0;13.0;16.0;14.0;22.0;13.0;2.0;0.0;
    Mujeres;70.0;0.0;9.0;8.0;7.0;7.0;3.0;6.0;6.0;7.0;2.0;9.0;2.0;4.0;0.0;0.0;
octubre;
    Ambos sexos;290.0;1.0;28.0;43.0;26.0;29.0;25.0;27.0;18.0;17.0;19.0;28.0;19.0;6.0;3.0;1.0;
    Varones;219.0;1.0;23.0;31.0;20.0;23.0;20.0;22.0;13.0;7.0;15.0;23.0;14.0;5.0;2.0;0.0;
    Mujeres;71.0;0.0;5.0;12.0;6.0;6.0;5.0;5.0;5.0;10.0;4.0;5.0;5.0;1.0;1.0;1.0;
noviembre;
    Ambos sexos;288.0;0.0;35.0;41.0;33.0;33.0;21.0;20.0;23.0;10.0;14.0;30.0;11.0;11.0;5.0;1.0;
    Varones;217.0;0.0;31.0;31.0;25.0;22.0;18.0;14.0;17.0;6.0;12.0;22.0;8.0;6.0;5.0;0.0;
    Mujeres;71.0;0.0;4.0;10.0;8.0;11.0;3.0;6.0;6.0;4.0;2.0;8.0;3.0;5.0;0.0;1.0;
diciembre;
    Ambos sexos;208.0;1.0;24.0;35.0;21.0;13.0;16.0;14.0;14.0;18.0;12.0;14.0;14.0;11.0;0.0;1.0;
    Varones;156.0;1.0;16.0;26.0;17.0;9.0;12.0;9.0;11.0;13.0;10.0;11.0;12.0;8.0;0.0;1.0;
    Mujeres;52.0;0.0;8.0;9.0;4.0;4.0;4.0;5.0;3.0;5.0;2.0;3.0;2.0;3.0;0.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
