Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3180.0;2.0;244.0;496.0;343.0;300.0;315.0;237.0;194.0;198.0;204.0;258.0;216.0;123.0;40.0;10.0;
    Hombres;2435.0;1.0;203.0;383.0;268.0;229.0;234.0;180.0;146.0;139.0;138.0;216.0;172.0;92.0;31.0;3.0;
    Mujeres;745.0;1.0;41.0;113.0;75.0;71.0;81.0;57.0;48.0;59.0;66.0;42.0;44.0;31.0;9.0;7.0;
enero;
    Ambos sexos;256.0;0.0;10.0;40.0;36.0;18.0;23.0;21.0;16.0;14.0;20.0;27.0;16.0;11.0;2.0;2.0;
    Hombres;196.0;0.0;9.0;33.0;31.0;12.0;18.0;18.0;12.0;7.0;15.0;19.0;12.0;9.0;1.0;0.0;
    Mujeres;60.0;0.0;1.0;7.0;5.0;6.0;5.0;3.0;4.0;7.0;5.0;8.0;4.0;2.0;1.0;2.0;
febrero;
    Ambos sexos;243.0;0.0;24.0;40.0;32.0;25.0;28.0;9.0;15.0;15.0;16.0;19.0;14.0;4.0;1.0;1.0;
    Hombres;194.0;0.0;20.0;34.0;24.0;20.0;20.0;6.0;11.0;14.0;12.0;18.0;12.0;2.0;1.0;0.0;
    Mujeres;49.0;0.0;4.0;6.0;8.0;5.0;8.0;3.0;4.0;1.0;4.0;1.0;2.0;2.0;0.0;1.0;
marzo;
    Ambos sexos;296.0;0.0;22.0;45.0;36.0;30.0;30.0;28.0;19.0;18.0;12.0;23.0;23.0;9.0;1.0;0.0;
    Hombres;231.0;0.0;18.0;35.0;30.0;24.0;25.0;21.0;15.0;10.0;7.0;21.0;18.0;6.0;1.0;0.0;
    Mujeres;65.0;0.0;4.0;10.0;6.0;6.0;5.0;7.0;4.0;8.0;5.0;2.0;5.0;3.0;0.0;0.0;
abril;
    Ambos sexos;268.0;0.0;18.0;37.0;24.0;32.0;32.0;22.0;12.0;20.0;16.0;19.0;14.0;16.0;5.0;1.0;
    Hombres;198.0;0.0;14.0;29.0;17.0;25.0;22.0;16.0;7.0;12.0;9.0;16.0;13.0;12.0;5.0;1.0;
    Mujeres;70.0;0.0;4.0;8.0;7.0;7.0;10.0;6.0;5.0;8.0;7.0;3.0;1.0;4.0;0.0;0.0;
mayo;
    Ambos sexos;277.0;0.0;21.0;41.0;34.0;29.0;22.0;20.0;14.0;16.0;23.0;23.0;22.0;7.0;5.0;0.0;
    Hombres;210.0;0.0;15.0;28.0;26.0;24.0;16.0;17.0;11.0;12.0;13.0;21.0;19.0;4.0;4.0;0.0;
    Mujeres;67.0;0.0;6.0;13.0;8.0;5.0;6.0;3.0;3.0;4.0;10.0;2.0;3.0;3.0;1.0;0.0;
junio;
