Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: nº de suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3263.0;12.0;331.0;538.0;309.0;283.0;228.0;232.0;225.0;184.0;239.0;251.0;238.0;148.0;37.0;8.0;
    Varones;2463.0;7.0;270.0;400.0;242.0;208.0;167.0;165.0;153.0;145.0;170.0;200.0;179.0;122.0;28.0;7.0;
    Mujeres;800.0;5.0;61.0;138.0;67.0;75.0;61.0;67.0;72.0;39.0;69.0;51.0;59.0;26.0;9.0;1.0;
enero;
    Ambos sexos;257.0;2.0;27.0;35.0;28.0;18.0;15.0;17.0;15.0;17.0;24.0;20.0;19.0;17.0;3.0;0.0;
    Varones;199.0;2.0;23.0;26.0;26.0;14.0;12.0;13.0;7.0;13.0;15.0;15.0;15.0;16.0;2.0;0.0;
    Mujeres;58.0;0.0;4.0;9.0;2.0;4.0;3.0;4.0;8.0;4.0;9.0;5.0;4.0;1.0;1.0;0.0;
febrero;
    Ambos sexos;238.0;2.0;31.0;49.0;18.0;17.0;17.0;16.0;14.0;12.0;16.0;17.0;16.0;8.0;2.0;3.0;
    Varones;188.0;1.0;29.0;35.0;14.0;13.0;13.0;10.0;10.0;9.0;12.0;16.0;14.0;7.0;2.0;3.0;
    Mujeres;50.0;1.0;2.0;14.0;4.0;4.0;4.0;6.0;4.0;3.0;4.0;1.0;2.0;1.0;0.0;0.0;
marzo;
    Ambos sexos;294.0;0.0;22.0;53.0;20.0;29.0;20.0;29.0;21.0;15.0;29.0;21.0;17.0;13.0;4.0;1.0;
    Varones;218.0;0.0;19.0;37.0;17.0;19.0;11.0;21.0;16.0;12.0;20.0;17.0;13.0;13.0;2.0;1.0;
    Mujeres;76.0;0.0;3.0;16.0;3.0;10.0;9.0;8.0;5.0;3.0;9.0;4.0;4.0;0.0;2.0;0.0;
abril;
    Ambos sexos;257.0;0.0;25.0;40.0;31.0;17.0;16.0;17.0;23.0;14.0;18.0;24.0;23.0;5.0;4.0;0.0;
    Varones;201.0;0.0;23.0;30.0;25.0;11.0;13.0;12.0;16.0;13.0;14.0;18.0;18.0;5.0;3.0;0.0;
    Mujeres;56.0;0.0;2.0;10.0;6.0;6.0;3.0;5.0;7.0;1.0;4.0;6.0;5.0;0.0;1.0;0.0;
mayo;
    Ambos sexos;314.0;2.0;34.0;48.0;32.0;25.0;24.0;24.0;20.0;14.0;20.0;24.0;26.0;15.0;5.0;1.0;
    Varones;232.0;1.0;30.0;32.0;26.0;22.0;17.0;16.0;10.0;12.0;15.0;19.0;18.0;9.0;4.0;1.0;
    Mujeres;82.0;1.0;4.0;16.0;6.0;3.0;7.0;8.0;10.0;2.0;5.0;5.0;8.0;6.0;1.0;0.0;
junio;
    Ambos sexos;302.0;2.0;33.0;56.0;31.0;27.0;17.0;19.0;22.0;23.0;20.0;18.0;17.0;13.0;3.0;1.0;
    Varones;229.0;0.0;22.0;43.0;22.0;18.0;11.0;18.0;17.0;20.0;17.0;17.0;14.0;8.0;2.0;0.0;
