Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3679.0;13.0;273.0;452.0;344.0;367.0;421.0;362.0;251.0;230.0;245.0;204.0;259.0;180.0;64.0;14.0;
    Hombres;2718.0;6.0;204.0;354.0;246.0;291.0;305.0;254.0;170.0;162.0;166.0;145.0;204.0;143.0;56.0;12.0;
    Mujeres;961.0;7.0;69.0;98.0;98.0;76.0;116.0;108.0;81.0;68.0;79.0;59.0;55.0;37.0;8.0;2.0;
enero;
    Ambos sexos;279.0;1.0;24.0;34.0;22.0;22.0;33.0;32.0;22.0;18.0;19.0;12.0;17.0;12.0;10.0;1.0;
    Hombres;198.0;0.0;15.0;23.0;14.0;16.0;25.0;22.0;19.0;12.0;14.0;7.0;13.0;8.0;9.0;1.0;
    Mujeres;81.0;1.0;9.0;11.0;8.0;6.0;8.0;10.0;3.0;6.0;5.0;5.0;4.0;4.0;1.0;0.0;
febrero;
    Ambos sexos;297.0;2.0;26.0;24.0;37.0;27.0;28.0;38.0;18.0;20.0;16.0;16.0;25.0;18.0;0.0;2.0;
    Hombres;215.0;2.0;21.0;17.0;23.0;21.0;22.0;26.0;13.0;16.0;10.0;10.0;19.0;13.0;0.0;2.0;
    Mujeres;82.0;0.0;5.0;7.0;14.0;6.0;6.0;12.0;5.0;4.0;6.0;6.0;6.0;5.0;0.0;0.0;
marzo;
    Ambos sexos;310.0;3.0;18.0;41.0;26.0;30.0;45.0;24.0;25.0;21.0;17.0;18.0;25.0;12.0;3.0;2.0;
    Hombres;228.0;0.0;13.0;32.0;20.0;25.0;33.0;14.0;15.0;14.0;15.0;12.0;22.0;10.0;1.0;2.0;
    Mujeres;82.0;3.0;5.0;9.0;6.0;5.0;12.0;10.0;10.0;7.0;2.0;6.0;3.0;2.0;2.0;0.0;
abril;
    Ambos sexos;300.0;1.0;17.0;34.0;38.0;39.0;27.0;20.0;20.0;13.0;24.0;23.0;26.0;15.0;3.0;0.0;
    Hombres;212.0;0.0;12.0;24.0;25.0;36.0;18.0;12.0;12.0;7.0;16.0;17.0;20.0;10.0;3.0;0.0;
    Mujeres;88.0;1.0;5.0;10.0;13.0;3.0;9.0;8.0;8.0;6.0;8.0;6.0;6.0;5.0;0.0;0.0;
mayo;
    Ambos sexos;319.0;1.0;20.0;39.0;24.0;40.0;44.0;31.0;25.0;19.0;17.0;18.0;24.0;11.0;4.0;2.0;
    Hombres;235.0;1.0;15.0;31.0;16.0;33.0;36.0;18.0;15.0;14.0;11.0;14.0;16.0;9.0;4.0;2.0;
    Mujeres;84.0;0.0;5.0;8.0;8.0;7.0;8.0;13.0;10.0;5.0;6.0;4.0;8.0;2.0;0.0;0.0;
junio;
    Ambos sexos;328.0;1.0;23.0;39.0;29.0;35.0;40.0;23.0;23.0;21.0;21.0;16.0;32.0;14.0;10.0;1.0;
    Hombres;249.0;0.0;16.0;30.0;25.0;29.0;35.0;14.0;14.0;14.0;14.0;11.0;25.0;11.0;10.0;1.0;
    Mujeres;79.0;1.0;7.0;9.0;4.0;6.0;5.0;9.0;9.0;7.0;7.0;5.0;7.0;3.0;0.0;0.0;
julio;
    Ambos sexos;348.0;0.0;29.0;44.0;33.0;30.0;31.0;32.0;29.0;19.0;27.0;20.0;23.0;21.0;9.0;1.0;
    Hombres;265.0;0.0;22.0;38.0;28.0;23.0;25.0;22.0;18.0;15.0;14.0;14.0;18.0;19.0;8.0;1.0;
    Mujeres;83.0;0.0;7.0;6.0;5.0;7.0;6.0;10.0;11.0;4.0;13.0;6.0;5.0;2.0;1.0;0.0;
agosto;
    Ambos sexos;337.0;1.0;24.0;40.0;32.0;29.0;36.0;35.0;24.0;18.0;23.0;23.0;20.0;24.0;7.0;1.0;
    Hombres;268.0;1.0;19.0;31.0;29.0;22.0;24.0;32.0;16.0;14.0;17.0;21.0;17.0;17.0;7.0;1.0;
    Mujeres;69.0;0.0;5.0;9.0;3.0;7.0;12.0;3.0;8.0;4.0;6.0;2.0;3.0;7.0;0.0;0.0;
septiembre;
    Ambos sexos;307.0;1.0;26.0;37.0;27.0;31.0;46.0;35.0;15.0;18.0;16.0;13.0;21.0;14.0;6.0;1.0;
    Hombres;217.0;0.0;18.0;26.0;18.0;21.0;32.0;27.0;12.0;12.0;9.0;10.0;16.0;11.0;5.0;0.0;
    Mujeres;90.0;1.0;8.0;11.0;9.0;10.0;14.0;8.0;3.0;6.0;7.0;3.0;5.0;3.0;1.0;1.0;
octubre;
    Ambos sexos;346.0;1.0;27.0;45.0;29.0;34.0;33.0;39.0;17.0;28.0;29.0;19.0;21.0;19.0;4.0;1.0;
    Hombres;259.0;1.0;20.0;39.0;21.0;26.0;18.0;28.0;15.0;18.0;19.0;14.0;19.0;16.0;4.0;1.0;
    Mujeres;87.0;0.0;7.0;6.0;8.0;8.0;15.0;11.0;2.0;10.0;10.0;5.0;2.0;3.0;0.0;0.0;
noviembre;
    Ambos sexos;267.0;0.0;15.0;44.0;26.0;29.0;26.0;26.0;18.0;19.0;21.0;11.0;17.0;11.0;3.0;1.0;
    Hombres;196.0;0.0;11.0;36.0;14.0;24.0;16.0;20.0;12.0;12.0;18.0;6.0;13.0;11.0;2.0;1.0;
    Mujeres;71.0;0.0;4.0;8.0;12.0;5.0;10.0;6.0;6.0;7.0;3.0;5.0;4.0;0.0;1.0;0.0;
diciembre;
    Ambos sexos;241.0;1.0;24.0;31.0;21.0;21.0;32.0;27.0;15.0;16.0;15.0;15.0;8.0;9.0;5.0;1.0;
    Hombres;176.0;1.0;22.0;27.0;13.0;15.0;21.0;19.0;9.0;14.0;9.0;9.0;6.0;8.0;3.0;0.0;
    Mujeres;65.0;0.0;2.0;4.0;8.0;6.0;11.0;8.0;6.0;2.0;6.0;6.0;2.0;1.0;2.0;1.0;
Notas:
1) Debido a que a partir del año 2013 se ha tenido acceso a los datos del Instituto Anatómico Forense de Madrid, se  ha introducido una mejora metodológica en el proceso de esta estadística, que ha permitido asignar de forma más  precisa la causa de defunción en las muertes con intervención judicial. Como consecuencia, defunciones que estaban  asignadas a causas mal definidas han sido reasignadas a causas externas específicas. Por lo tanto, este hecho debe  ser tenido en cuenta a la hora de realizar comparaciones con años anteriores.
Fuente: Instituto Nacional de Estadística
