mes;descrip;Todas las edades;Menores de 15 a�os;De 15 a 29 a�os;De 30 a 39 a�os;De 40 a 44 a�os;De 45 a 49 a�os;De 50 a 54 a�os;De 55 a 59 a�os;De 60 a 64 a�os;De 65 a 69 a�os;De 70 a 74 a�os;De 75 a 79 a�os;De 80 a 84 a�os;De 85 a 89 a�os;De 90 a 94 a�os;De 95 a�os y m�s;
2005-01-01;Ambos sexos;285;0;32;47;18;22;19;22;20;13;29;30;17;10;6;0;
2005-01-01;Varones;209;0;22;34;15;16;13;13;18;7;20;25;13;7;6;0;
2005-01-01;Mujeres;76;0;10;13;3;6;6;9;2;6;9;5;4;3;0;0;
2005-02-01;Ambos sexos;255;0;33;43;27;17;16;22;11;14;20;15;17;13;7;0;
2005-02-01;Varones;206;0;24;38;23;14;15;16;7;13;12;14;14;10;6;0;
2005-02-01;Mujeres;49;0;9;5;4;3;1;6;4;1;8;1;3;3;1;0;
2005-03-01;Ambos sexos;302;1;47;50;20;22;30;17;22;18;29;24;16;2;3;1;
2005-03-01;Varones;229;0;34;40;19;15;23;10;16;15;23;19;11;1;3;0;
2005-03-01;Mujeres;73;1;13;10;1;7;7;7;6;3;6;5;5;1;0;1;
2005-04-01;Ambos sexos;307;2;41;48;20;29;17;19;25;22;25;25;16;9;8;1;
2005-04-01;Varones;241;2;40;36;16;21;15;14;17;16;16;21;15;8;3;1;
2005-04-01;Mujeres;66;0;1;12;4;8;2;5;8;6;9;4;1;1;5;0;
2005-05-01;Ambos sexos;304;2;35;58;27;21;21;23;15;20;23;25;19;12;3;0;
2005-05-01;Varones;234;1;28;45;23;17;18;17;11;13;15;18;16;9;3;0;
2005-05-01;Mujeres;70;1;7;13;4;4;3;6;4;7;8;7;3;3;0;0;
2005-06-01;Ambos sexos;320;0;36;64;28;18;18;29;13;22;21;30;25;5;8;3;
2005-06-01;Varones;235;0;31;45;25;13;16;18;6;13;12;25;16;5;7;3;
2005-06-01;Mujeres;85;0;5;19;3;5;2;11;7;9;9;5;9;0;1;0;
2005-07-01;Ambos sexos;306;0;36;43;25;26;19;18;23;16;29;30;20;16;4;1;
2005-07-01;Varones;225;0;26;35;20;21;11;15;16;11;21;21;14;11;3;0;
2005-07-01;Mujeres;81;0;10;8;5;5;8;3;7;5;8;9;6;5;1;1;
2005-08-01;Ambos sexos;292;1;33;41;27;19;13;15;13;28;31;22;31;12;5;1;
2005-08-01;Varones;218;1;26;35;19;15;10;13;9;19;23;20;20;6;1;1;
2005-08-01;Mujeres;74;0;7;6;8;4;3;2;4;9;8;2;11;6;4;0;
2005-09-01;Ambos sexos;275;1;33;46;27;19;19;16;25;12;21;21;22;10;3;0;
2005-09-01;Varones;199;0;26;37;22;15;9;9;20;10;16;12;14;6;3;0;
2005-09-01;Mujeres;76;1;7;9;5;4;10;7;5;2;5;9;8;4;0;0;
2005-10-01;Ambos sexos;278;0;41;44;33;20;18;15;15;19;27;19;16;7;4;0;
2005-10-01;Varones;220;0;34;34;31;16;13;13;10;13;23;12;11;6;4;0;
2005-10-01;Mujeres;58;0;7;10;2;4;5;2;5;6;4;7;5;1;0;0;
2005-11-01;Ambos sexos;230;0;36;40;19;10;19;15;11;12;21;19;17;9;2;0;
2005-11-01;Varones;163;0;26;29;16;9;14;10;3;10;11;15;13;6;1;0;
