month_code;month; year;number_of_suicide_news
1999-05-01;05;1999;36
2017-09-01;09;2017;106
2017-06-01;06;2017;76
1998-10-01;10;1998;17
1997-03-01;03;1997;29
2008-04-01;04;2008;146
1999-12-01;12;1999;19
1997-07-01;07;1997;26
2011-05-01;05;2011;227
2007-07-01;07;2007;116
1998-08-01;08;1998;21
2000-02-01;02;2000;13
1996-06-01;06;1996;19
2006-01-01;01;2006;59
2006-07-01;07;2006;42
1997-05-01;05;1997;24
2018-11-01;11;2018;73
2006-05-01;05;2006;56
2004-11-01;11;2004;83
2014-07-01;07;2014;145
2000-07-01;07;2000;14
1998-11-01;11;1998;26
2012-11-01;11;2012;328
2009-01-01;01;2009;148
2011-06-01;06;2011;153
2015-12-01;12;2015;148
2009-02-01;02;2009;174
2003-08-01;08;2003;25
2013-08-01;08;2013;124
2008-09-01;09;2008;169
2000-04-01;04;2000;12
2015-06-01;06;2015;153
1999-03-01;03;1999;29
2019-04-01;04;2019;136
2005-07-01;07;2005;52
2018-03-01;03;2018;104
2011-09-01;09;2011;138
2003-11-01;11;2003;42
1996-03-01;03;1996;17
2016-11-01;11;2016;120
2016-08-01;08;2016;199
1998-06-01;06;1998;19
2015-05-01;05;2015;186
2002-03-01;03;2002;15
2004-04-01;04;2004;101
2005-12-01;12;2005;41
2014-11-01;11;2014;159
1997-02-01;02;1997;22
2001-04-01;04;2001;14
2015-03-01;03;2015;202
1996-11-01;11;1996;25
2013-02-01;02;2013;194
1999-06-01;06;1999;20
2001-12-01;12;2001;16
1997-01-01;01;1997;24
2012-10-01;10;2012;178
2017-10-01;10;2017;105
2010-04-01;04;2010;162
2009-12-01;12;2009;181
2009-06-01;06;2009;122
2005-04-01;04;2005;45
2002-07-01;07;2002;9
2001-07-01;07;2001;12
2010-08-01;08;2010;120
2000-03-01;03;2000;19
2001-08-01;08;2001;8
2006-02-01;02;2006;55
2000-11-01;11;2000;13
2008-03-01;03;2008;135
2017-02-01;02;2017;144
2015-10-01;10;2015;200
2008-01-01;01;2008;126
2001-01-01;01;2001;10
2000-10-01;10;2000;4
1998-05-01;05;1998;45
2008-02-01;02;2008;163
2002-11-01;11;2002;14
1999-11-01;11;1999;34
2016-07-01;07;2016;164
2007-05-01;05;2007;147
2007-02-01;02;2007;166
1996-10-01;10;1996;29
