month_code;month; year;number_of_suicide_news;average_sentiment_result
0001-01-01;01;0001;1;0.000000
2004-03-01;03;2004;13;-0.010000
2004-04-01;04;2004;170;-1.200000
2004-05-01;05;2004;183;-2.590000
2004-06-01;06;2004;186;-1.140000
2004-07-01;07;2004;229;-1.190000
2004-08-01;08;2004;193;0.320000
2004-09-01;09;2004;166;-1.010000
2004-10-01;10;2004;201;-3.280000
2004-11-01;11;2004;177;-2.190000
2004-12-01;12;2004;158;-1.260000
2005-01-01;01;2005;180;-1.950000
2005-02-01;02;2005;139;-1.450000
2005-03-01;03;2005;159;-1.650000
2005-04-01;04;2005;112;-1.210000
2005-05-01;05;2005;144;-1.890000
2005-06-01;06;2005;134;-2.190000
2005-07-01;07;2005;113;-1.230000
2005-08-01;08;2005;147;-1.270000
2005-09-01;09;2005;138;-1.350000
2005-10-01;10;2005;128;-0.910000
2005-11-01;11;2005;116;-1.100000
2005-12-01;12;2005;99;-0.730000
2006-01-01;01;2006;140;-1.850000
2006-02-01;02;2006;125;-1.220000
2006-03-01;03;2006;154;-3.270000
2006-04-01;04;2006;99;-0.790000
2006-05-01;05;2006;132;-1.430000
2006-06-01;06;2006;99;-0.920000
2006-07-01;07;2006;88;-0.440000
2006-08-01;08;2006;176;-2.390000
2006-09-01;09;2006;138;-1.330000
2006-10-01;10;2006;140;-1.580000
2006-11-01;11;2006;133;-0.570000
2006-12-01;12;2006;140;-1.810000
2007-01-01;01;2007;169;-1.300000
2007-02-01;02;2007;171;-1.520000
2007-03-01;03;2007;164;-1.290000
2007-04-01;04;2007;143;-1.660000
2007-05-01;05;2007;147;-2.160000
2007-06-01;06;2007;105;-1.040000
2007-07-01;07;2007;114;-1.700000
2007-08-01;08;2007;196;-0.690000
2007-09-01;09;2007;218;-1.040000
2007-10-01;10;2007;147;-0.900000
2007-11-01;11;2007;93;-0.710000
2007-12-01;12;2007;116;-1.620000
2008-01-01;01;2008;125;-1.170000
2008-02-01;02;2008;158;-2.660000
2008-03-01;03;2008;134;-1.760000
2008-04-01;04;2008;145;-2.910000
2008-05-01;05;2008;119;-0.910000
2008-06-01;06;2008;103;-1.140000
2008-07-01;07;2008;180;-1.820000
2008-08-01;08;2008;137;-1.060000
2008-09-01;09;2008;169;-1.420000
2008-10-01;10;2008;135;-1.730000
2008-11-01;11;2008;155;-1.610000
2008-12-01;12;2008;153;-1.940000
2009-01-01;01;2009;149;-1.640000
2009-02-01;02;2009;173;-1.240000
2009-03-01;03;2009;162;-2.300000
2009-04-01;04;2009;144;-1.290000
2009-05-01;05;2009;144;-0.860000
2009-06-01;06;2009;119;-1.030000
2009-07-01;07;2009;128;-1.550000
2009-08-01;08;2009;145;-1.370000
2009-09-01;09;2009;153;-1.480000
2009-10-01;10;2009;166;-1.590000
2009-11-01;11;2009;146;-2.030000
2009-12-01;12;2009;182;-2.990000
2010-01-01;01;2010;146;-1.690000
2010-02-01;02;2010;142;-1.420000
2010-03-01;03;2010;155;-1.380000
2010-04-01;04;2010;160;-2.480000
2010-05-01;05;2010;171;-1.190000
2010-06-01;06;2010;193;-1.000000
2010-07-01;07;2010;152;-0.840000
2010-08-01;08;2010;120;-0.860000
2010-09-01;09;2010;148;-1.790000
2010-10-01;10;2010;159;-1.790000
2010-11-01;11;2010;185;-0.340000
2010-12-01;12;2010;211;-2.520000
2011-01-01;01;2011;206;-2.030000
2011-02-01;02;2011;160;-1.720000
2011-03-01;03;2011;137;-0.780000
2011-04-01;04;2011;188;-1.690000
2011-05-01;05;2011;224;-2.060000
2011-06-01;06;2011;149;-1.890000
2011-07-01;07;2011;134;-0.770000
