Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: nº de suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3457.0;4.0;380.0;563.0;341.0;299.0;284.0;266.0;225.0;226.0;231.0;255.0;215.0;120.0;39.0;9.0;
    Varones;2676.0;2.0;308.0;455.0;262.0;239.0;225.0;199.0;163.0;167.0;172.0;191.0;170.0;84.0;31.0;8.0;
    Mujeres;781.0;2.0;72.0;108.0;79.0;60.0;59.0;67.0;62.0;59.0;59.0;64.0;45.0;36.0;8.0;1.0;
enero;
    Ambos sexos;271.0;1.0;26.0;47.0;22.0;20.0;18.0;33.0;12.0;24.0;14.0;28.0;15.0;10.0;1.0;0.0;
    Varones;203.0;0.0;21.0;36.0;20.0;13.0;16.0;24.0;8.0;19.0;10.0;19.0;12.0;5.0;0.0;0.0;
    Mujeres;68.0;1.0;5.0;11.0;2.0;7.0;2.0;9.0;4.0;5.0;4.0;9.0;3.0;5.0;1.0;0.0;
febrero;
    Ambos sexos;257.0;1.0;33.0;37.0;23.0;15.0;15.0;25.0;18.0;25.0;19.0;17.0;15.0;9.0;5.0;0.0;
    Varones;203.0;1.0;30.0;31.0;18.0;10.0;11.0;22.0;13.0;19.0;14.0;12.0;10.0;7.0;5.0;0.0;
    Mujeres;54.0;0.0;3.0;6.0;5.0;5.0;4.0;3.0;5.0;6.0;5.0;5.0;5.0;2.0;0.0;0.0;
marzo;
    Ambos sexos;309.0;0.0;40.0;60.0;29.0;29.0;30.0;17.0;22.0;15.0;16.0;16.0;19.0;13.0;3.0;0.0;
    Varones;246.0;0.0;34.0;48.0;23.0;27.0;27.0;13.0;13.0;11.0;12.0;14.0;16.0;6.0;2.0;0.0;
    Mujeres;63.0;0.0;6.0;12.0;6.0;2.0;3.0;4.0;9.0;4.0;4.0;2.0;3.0;7.0;1.0;0.0;
abril;
    Ambos sexos;283.0;1.0;35.0;56.0;31.0;32.0;15.0;17.0;20.0;18.0;14.0;18.0;14.0;8.0;4.0;0.0;
    Varones;218.0;1.0;30.0;44.0;20.0;23.0;10.0;10.0;16.0;17.0;11.0;15.0;12.0;6.0;3.0;0.0;
    Mujeres;65.0;0.0;5.0;12.0;11.0;9.0;5.0;7.0;4.0;1.0;3.0;3.0;2.0;2.0;1.0;0.0;
mayo;
    Ambos sexos;282.0;1.0;26.0;48.0;29.0;23.0;26.0;15.0;16.0;22.0;18.0;20.0;23.0;11.0;3.0;1.0;
    Varones;227.0;0.0;18.0;39.0;26.0;21.0;18.0;11.0;14.0;17.0;16.0;15.0;18.0;10.0;3.0;1.0;
    Mujeres;55.0;1.0;8.0;9.0;3.0;2.0;8.0;4.0;2.0;5.0;2.0;5.0;5.0;1.0;0.0;0.0;
junio;
    Ambos sexos;326.0;0.0;31.0;46.0;32.0;25.0;26.0;20.0;21.0;20.0;30.0;23.0;26.0;19.0;4.0;3.0;
    Varones;258.0;0.0;25.0;39.0;26.0;21.0;19.0;16.0;16.0;14.0;22.0;18.0;24.0;13.0;2.0;3.0;
    Mujeres;68.0;0.0;6.0;7.0;6.0;4.0;7.0;4.0;5.0;6.0;8.0;5.0;2.0;6.0;2.0;0.0;
julio;
    Ambos sexos;301.0;0.0;35.0;39.0;33.0;24.0;36.0;21.0;21.0;20.0;19.0;22.0;20.0;8.0;1.0;2.0;
    Varones;229.0;0.0;31.0;30.0;27.0;18.0;30.0;18.0;11.0;14.0;12.0;16.0;14.0;6.0;0.0;2.0;
    Mujeres;72.0;0.0;4.0;9.0;6.0;6.0;6.0;3.0;10.0;6.0;7.0;6.0;6.0;2.0;1.0;0.0;
agosto;
    Ambos sexos;296.0;0.0;35.0;51.0;30.0;30.0;19.0;23.0;17.0;10.0;25.0;30.0;19.0;4.0;3.0;0.0;
    Varones;231.0;0.0;28.0;44.0;18.0;28.0;17.0;16.0;11.0;8.0;17.0;23.0;14.0;4.0;3.0;0.0;
    Mujeres;65.0;0.0;7.0;7.0;12.0;2.0;2.0;7.0;6.0;2.0;8.0;7.0;5.0;0.0;0.0;0.0;
septiembre;
    Ambos sexos;282.0;0.0;25.0;51.0;19.0;25.0;26.0;27.0;13.0;13.0;19.0;31.0;20.0;8.0;4.0;1.0;
    Varones;213.0;0.0;18.0;42.0;16.0;18.0;20.0;19.0;10.0;7.0;14.0;26.0;14.0;6.0;3.0;0.0;
    Mujeres;69.0;0.0;7.0;9.0;3.0;7.0;6.0;8.0;3.0;6.0;5.0;5.0;6.0;2.0;1.0;1.0;
octubre;
    Ambos sexos;304.0;0.0;34.0;40.0;36.0;28.0;23.0;24.0;21.0;23.0;24.0;15.0;18.0;14.0;4.0;0.0;
    Varones;234.0;0.0;26.0;29.0;31.0;22.0;19.0;18.0;14.0;14.0;20.0;10.0;16.0;11.0;4.0;0.0;
    Mujeres;70.0;0.0;8.0;11.0;5.0;6.0;4.0;6.0;7.0;9.0;4.0;5.0;2.0;3.0;0.0;0.0;
noviembre;
    Ambos sexos;273.0;0.0;29.0;42.0;33.0;25.0;24.0;19.0;22.0;20.0;17.0;15.0;12.0;10.0;4.0;1.0;
    Varones;206.0;0.0;22.0;35.0;21.0;18.0;19.0;13.0;19.0;15.0;14.0;10.0;10.0;5.0;4.0;1.0;
    Mujeres;67.0;0.0;7.0;7.0;12.0;7.0;5.0;6.0;3.0;5.0;3.0;5.0;2.0;5.0;0.0;0.0;
diciembre;
    Ambos sexos;273.0;0.0;31.0;46.0;24.0;23.0;26.0;25.0;22.0;16.0;16.0;20.0;14.0;6.0;3.0;1.0;
    Varones;208.0;0.0;25.0;38.0;16.0;20.0;19.0;19.0;18.0;12.0;10.0;13.0;10.0;5.0;2.0;1.0;
    Mujeres;65.0;0.0;6.0;8.0;8.0;3.0;7.0;6.0;4.0;4.0;6.0;7.0;4.0;1.0;1.0;0.0;
Notas:
Fuente: Instituto Nacional de Estadística
