Estadística de Defunciones según la Causa de Muerte
Suicidios. Resultados nacionales
Suicidios por mes de defunción, sexo y edad.
Unidades: suicidios

;Todas las edades;Menores de 15 años;De 15 a 29 años;De 30 a 39 años;De 40 a 44 años;De 45 a 49 años;De 50 a 54 años;De 55 a 59 años;De 60 a 64 años;De 65 a 69 años;De 70 a 74 años;De 75 a 79 años;De 80 a 84 años;De 85 a 89 años;De 90 a 94 años;De 95 años y más;
Todos los meses;
    Ambos sexos;3539.0;5.0;305.0;548.0;364.0;340.0;338.0;288.0;230.0;193.0;214.0;268.0;248.0;138.0;48.0;12.0;
    Hombres;2724.0;4.0;239.0;425.0;274.0;269.0;247.0;228.0;179.0;133.0;155.0;213.0;201.0;104.0;43.0;10.0;
    Mujeres;815.0;1.0;66.0;123.0;90.0;71.0;91.0;60.0;51.0;60.0;59.0;55.0;47.0;34.0;5.0;2.0;
enero;
    Ambos sexos;285.0;0.0;34.0;41.0;29.0;17.0;32.0;24.0;20.0;11.0;18.0;20.0;21.0;11.0;5.0;2.0;
    Hombres;232.0;0.0;30.0;35.0;22.0;14.0;26.0;20.0;16.0;7.0;13.0;17.0;17.0;10.0;4.0;1.0;
    Mujeres;53.0;0.0;4.0;6.0;7.0;3.0;6.0;4.0;4.0;4.0;5.0;3.0;4.0;1.0;1.0;1.0;
febrero;
    Ambos sexos;265.0;1.0;36.0;40.0;28.0;24.0;28.0;23.0;18.0;12.0;12.0;18.0;13.0;7.0;4.0;1.0;
    Hombres;211.0;1.0;28.0;26.0;24.0;22.0;21.0;20.0;14.0;10.0;9.0;16.0;10.0;5.0;4.0;1.0;
    Mujeres;54.0;0.0;8.0;14.0;4.0;2.0;7.0;3.0;4.0;2.0;3.0;2.0;3.0;2.0;0.0;0.0;
marzo;
    Ambos sexos;309.0;1.0;21.0;51.0;34.0;30.0;28.0;32.0;18.0;14.0;17.0;24.0;23.0;13.0;2.0;1.0;
    Hombres;240.0;1.0;17.0;36.0;25.0;24.0;22.0;26.0;18.0;12.0;10.0;17.0;19.0;10.0;2.0;1.0;
    Mujeres;69.0;0.0;4.0;15.0;9.0;6.0;6.0;6.0;0.0;2.0;7.0;7.0;4.0;3.0;0.0;0.0;
abril;
    Ambos sexos;291.0;1.0;23.0;50.0;29.0;37.0;22.0;23.0;17.0;13.0;19.0;17.0;20.0;17.0;3.0;0.0;
    Hombres;214.0;0.0;18.0;40.0;17.0;30.0;17.0;19.0;14.0;8.0;8.0;12.0;15.0;14.0;2.0;0.0;
    Mujeres;77.0;1.0;5.0;10.0;12.0;7.0;5.0;4.0;3.0;5.0;11.0;5.0;5.0;3.0;1.0;0.0;
mayo;
    Ambos sexos;324.0;0.0;26.0;55.0;43.0;33.0;33.0;16.0;20.0;17.0;24.0;20.0;24.0;8.0;4.0;1.0;
    Hombres;248.0;0.0;21.0;41.0;36.0;23.0;24.0;14.0;15.0;13.0;17.0;14.0;17.0;8.0;4.0;1.0;
    Mujeres;76.0;0.0;5.0;14.0;7.0;10.0;9.0;2.0;5.0;4.0;7.0;6.0;7.0;0.0;0.0;0.0;
junio;
