month_code;descrip;suicidios;noticias_suicidio
2007-01-01;Ambos sexos;257;169
2007-02-01;Ambos sexos;238;166
2007-03-01;Ambos sexos;294;170
2007-04-01;Ambos sexos;257;142
2007-05-01;Ambos sexos;314;147
2007-06-01;Ambos sexos;302;106
2007-07-01;Ambos sexos;315;116
2007-08-01;Ambos sexos;295;201
2007-09-01;Ambos sexos;272;221
2007-10-01;Ambos sexos;249;151
2007-11-01;Ambos sexos;237;93
2007-12-01;Ambos sexos;233;117
2008-01-01;Ambos sexos;271;126
2008-02-01;Ambos sexos;257;163
2008-03-01;Ambos sexos;309;135
2008-04-01;Ambos sexos;283;146
2008-05-01;Ambos sexos;282;123
2008-06-01;Ambos sexos;326;108
2008-07-01;Ambos sexos;301;182
2008-08-01;Ambos sexos;296;137
2008-09-01;Ambos sexos;282;169
2008-10-01;Ambos sexos;304;135
2008-11-01;Ambos sexos;273;158
2008-12-01;Ambos sexos;273;154
2009-01-01;Ambos sexos;275;148
2009-02-01;Ambos sexos;270;174
2009-03-01;Ambos sexos;272;161
2009-04-01;Ambos sexos;258;145
2009-05-01;Ambos sexos;316;146
2009-06-01;Ambos sexos;321;122
2009-07-01;Ambos sexos;330;128
2009-08-01;Ambos sexos;298;145
2009-09-01;Ambos sexos;303;154
2009-10-01;Ambos sexos;290;167
2009-11-01;Ambos sexos;288;148
2009-12-01;Ambos sexos;208;181
2010-01-01;Ambos sexos;270;149
2010-02-01;Ambos sexos;227;145
2010-03-01;Ambos sexos;293;158
2010-04-01;Ambos sexos;289;162
2010-05-01;Ambos sexos;313;174
2010-06-01;Ambos sexos;268;195
2010-07-01;Ambos sexos;280;150
2010-08-01;Ambos sexos;273;120
2010-09-01;Ambos sexos;265;150
2010-10-01;Ambos sexos;240;159
2010-11-01;Ambos sexos;202;187
2010-12-01;Ambos sexos;238;212
2011-01-01;Ambos sexos;256;208
2011-02-01;Ambos sexos;243;160
2011-03-01;Ambos sexos;296;137
2011-04-01;Ambos sexos;268;191
2011-05-01;Ambos sexos;277;227
2011-06-01;Ambos sexos;285;153
2011-07-01;Ambos sexos;263;142
2011-08-01;Ambos sexos;269;144
2011-09-01;Ambos sexos;263;138
2011-10-01;Ambos sexos;259;142
2011-11-01;Ambos sexos;242;198
2011-12-01;Ambos sexos;259;231
2012-01-01;Ambos sexos;285;210
2012-02-01;Ambos sexos;265;160
2012-03-01;Ambos sexos;309;143
2012-04-01;Ambos sexos;291;191
2012-05-01;Ambos sexos;324;156
2012-06-01;Ambos sexos;310;136
2012-07-01;Ambos sexos;338;129
2012-08-01;Ambos sexos;312;145
2012-09-01;Ambos sexos;297;148
2012-10-01;Ambos sexos;267;178
2012-11-01;Ambos sexos;250;328
2012-12-01;Ambos sexos;291;208
2013-01-01;Ambos sexos;344;151
2013-02-01;Ambos sexos;289;194
2013-03-01;Ambos sexos;359;175
2013-04-01;Ambos sexos;324;185
2013-05-01;Ambos sexos;335;200
2013-06-01;Ambos sexos;363;199
2013-07-01;Ambos sexos;357;124
2013-08-01;Ambos sexos;308;124
2013-09-01;Ambos sexos;345;156
2013-10-01;Ambos sexos;301;140
2013-11-01;Ambos sexos;259;108
2013-12-01;Ambos sexos;286;121
2014-01-01;Ambos sexos;339;138
2014-02-01;Ambos sexos;293;176
2014-03-01;Ambos sexos;318;191
2014-04-01;Ambos sexos;338;146
2014-05-01;Ambos sexos;331;161
2014-06-01;Ambos sexos;371;166
2014-07-01;Ambos sexos;342;145
2014-08-01;Ambos sexos;354;181
2014-09-01;Ambos sexos;334;154
2014-10-01;Ambos sexos;332;147
2014-11-01;Ambos sexos;283;159
2014-12-01;Ambos sexos;275;146
2015-01-01;Ambos sexos;276;166
2015-02-01;Ambos sexos;270;131
2015-03-01;Ambos sexos;367;202
2015-04-01;Ambos sexos;287;182
2015-05-01;Ambos sexos;331;186
2015-06-01;Ambos sexos;308;153
2015-07-01;Ambos sexos;359;196
2015-08-01;Ambos sexos;312;256
2015-09-01;Ambos sexos;295;137
2015-10-01;Ambos sexos;274;200
2015-11-01;Ambos sexos;235;139
2015-12-01;Ambos sexos;288;148
2016-01-01;Ambos sexos;301;189
2016-02-01;Ambos sexos;283;153
2016-03-01;Ambos sexos;289;219
2016-04-01;Ambos sexos;292;173
2016-05-01;Ambos sexos;320;166
2016-06-01;Ambos sexos;328;154
2016-07-01;Ambos sexos;311;164
2016-08-01;Ambos sexos;321;199
2016-09-01;Ambos sexos;311;192
2016-10-01;Ambos sexos;269;186
2016-11-01;Ambos sexos;251;120
2016-12-01;Ambos sexos;293;124
2017-01-01;Ambos sexos;279;154
2017-02-01;Ambos sexos;297;144
2017-03-01;Ambos sexos;310;121
2017-04-01;Ambos sexos;300;103
2017-05-01;Ambos sexos;319;120
2017-06-01;Ambos sexos;328;76
2017-07-01;Ambos sexos;348;130
2017-08-01;Ambos sexos;337;85
2017-09-01;Ambos sexos;307;106
2017-10-01;Ambos sexos;346;105
2017-11-01;Ambos sexos;267;103
2017-12-01;Ambos sexos;241;81
