month_code;month; year;number_of_suicide_news
2010-01-01;01;2010;136
2010-02-01;02;2010;133
2010-03-01;03;2010;258
2010-04-01;04;2010;234
2010-05-01;05;2010;228
2010-06-01;06;2010;239
2010-07-01;07;2010;211
2010-08-01;08;2010;190
2010-09-01;09;2010;222
2010-10-01;10;2010;200
2010-11-01;11;2010;249
2010-12-01;12;2010;287
2011-01-01;01;2011;296
2011-02-01;02;2011;204
2011-03-01;03;2011;196
2011-04-01;04;2011;255
2011-05-01;05;2011;307
2011-06-01;06;2011;229
2011-07-01;07;2011;223
2011-08-01;08;2011;205
2011-09-01;09;2011;201
2011-10-01;10;2011;222
2011-11-01;11;2011;243
2011-12-01;12;2011;283
2012-01-01;01;2012;254
2012-02-01;02;2012;189
2012-03-01;03;2012;175
2012-04-01;04;2012;234
2012-05-01;05;2012;212
2012-06-01;06;2012;157
2012-07-01;07;2012;172
2012-08-01;08;2012;181
2012-09-01;09;2012;185
2012-10-01;10;2012;214
2012-11-01;11;2012;363
2012-12-01;12;2012;230
2013-01-01;01;2013;175
2013-02-01;02;2013;240
2013-03-01;03;2013;216
2013-04-01;04;2013;228
2013-05-01;05;2013;245
2013-06-01;06;2013;241
2013-07-01;07;2013;140
2013-08-01;08;2013;143
2013-09-01;09;2013;206
2013-10-01;10;2013;171
2013-11-01;11;2013;134
2013-12-01;12;2013;163
2014-01-01;01;2014;204
2014-02-01;02;2014;218
2014-03-01;03;2014;254
2014-04-01;04;2014;178
2014-05-01;05;2014;178
2014-06-01;06;2014;216
2014-07-01;07;2014;185
2014-08-01;08;2014;232
2014-09-01;09;2014;183
2014-10-01;10;2014;187
2014-11-01;11;2014;208
2014-12-01;12;2014;189
2015-01-01;01;2015;272
2015-02-01;02;2015;198
2015-03-01;03;2015;315
2015-04-01;04;2015;239
2015-05-01;05;2015;231
2015-06-01;06;2015;219
2015-07-01;07;2015;270
2015-08-01;08;2015;304
2015-09-01;09;2015;158
2015-10-01;10;2015;269
2015-11-01;11;2015;315
2015-12-01;12;2015;223
2016-01-01;01;2016;266
2016-02-01;02;2016;213
2016-03-01;03;2016;415
2016-04-01;04;2016;270
2016-05-01;05;2016;260
2016-06-01;06;2016;246
2016-07-01;07;2016;279
2016-08-01;08;2016;258
2016-09-01;09;2016;218
2016-10-01;10;2016;234
2016-11-01;11;2016;165
2016-12-01;12;2016;217
2017-01-01;01;2017;211
2017-02-01;02;2017;182
2017-03-01;03;2017;162
2017-04-01;04;2017;134
2017-05-01;05;2017;202
2017-06-01;06;2017;122
2017-07-01;07;2017;170
2017-08-01;08;2017;136
2017-09-01;09;2017;139
2017-10-01;10;2017;126
2017-11-01;11;2017;129
2017-12-01;12;2017;115
